Length,Wire Guage,Color,Wire Label,DEVICE A,DEVICE B,A-LABEL,A-CONNECTOR,B-LABEL,B-CONNECTOR







21,14,RED,002-01L1,002-DISC,002-03CB,R,F,L,F
24,14,RED,002-02L1,002-03CB,004-08CR,R,F,L,F
29,14,RED,002-06l1A,004-08CR,004-07CR,R,F,L,F
14,14,RED,002-06L1,004-07CR,002-06MC,R,F,R,F
33,14,BLACK,002-06A1,002-06MC,TB-2,R,F,L,F
33,14,BLACK,002-07A2,002-06MC,TB-2,R,F,L,F
23,14,RED,002-02L1,002-03CB,002-10CB,R,F,L,F
29,14,RED,002-10L1,002-10CB,002-10PS,R,F,R,LF
21,14,WHITE,N,TB-1,002-06MC,R,F,R,F
27,14,WHITE,N,TB-1,002-10PS,R,F,R,LF
13,14,BLUE,002-10A,002-10PS,002-11CB,L,F,L,LF
14,14,BLUE,002-11B,002-11CB,TB-2,R,F,L,F
33,14,WH/BLU,002-10A,002-10PS,TB-2,L,LF,L,F
29,16,BLUE,002-11B,TB-2,003-01CB,L,F,L,F
7,16,BLUE,002-11B,003-01CB,003-03CB,L,F,L,F
7,16,BLUE,002-11B,003-03CB,003-05CB,L,F,L,F
7,16,BLUE,002-11B,003-05CB,003-07CB,L,F,L,F
34,16,BLUE,003-01A,003-01CB,PLC POWER,R,F,R,F
27,16,WH/BLU,002-10A,TB-2,PLC POWER,L,F,R,F
10,16,BLUE,003-03A,003-03CB,TB-2,R,F,L,F
14,16,BLUE,003-05A,003-05CB,003-05NS,R,F,R,F
12,16,WH/BLU,002-10A,TB-2,003-05NS,L,F,R,F
39,16,GREEN/YELL,,GB,003-05NS,,F,,F
10,16,BLUE,003-07A,003-07CB,TB-2,R,F,L,F
36,16,BLUE,002-11B,TB-2,004-00SR,L,F,L,DF
13,16,BLUE,002-11B,004-00SR,004-00SR,L,DF,L,DF
13,16,BLUE,002-11B,004-00SR,004-00SR,L,DF,L,F
31,16,BLUE,004-02B,004-00SR,004-07CR,L,F,L,F
30,16,BLUE,004-02A,004-07CR,004-08CR,R,F,L,F
32,16,BLUE,004-02E,004-08CR,TB-2,R,F,L,F
35,16,BLUE,004-03A,004-00SR,TB-2,L,F,L,F
11,16,WH/BLU,002-10A,TB-2,004-00SR,L,F,R,DF
11,16,WH/BLU,002-10A,004-00SR,009-07CR,R,DF,R,F
14,16,BLUE,004-02C,004-00SR,TB-2,L,F,R,F
14,16,BLUE,004-03B,004-00SR,TB-2,L,F,R,F
14,16,BLUE,004-04A,004-00SR,TB-2,L,F,R,F
14,16,BLUE,004-05A,004-00SR,TB-2,L,F,R,F
14,16,BLUE,004-08A,004-00SR,TB-2,L,F,R,F
38,38,BLUE,004-08A,004-00SR,004-07CR,L,F,L,F
34,16,BLUE,004-09A,004-00SR,TB-2,,,,
40,16,WH/BLU,002-10A,TB-2,004-08CR,L,F,L,DF
9,16,WH/BLU,002-10A,004-08CR,004-07CR,L,DF,L,F
42,16,BLUE,002-11B,TB-2,004-08CR,L,F,L,DF
11,16,BLUE,002-11B,004-08CR,004-07CR,L,DF,L,F
28,16,BLUE,I0000,PLC I/0,004-08CR,L,F,R,F
28,16,BLUE,I0007,PLC I/7,004-07CR,L,F,R,F
13,16,BLUE,I0013,PLC I/13,010-02CR,L,F,R,F
13,16,BLUE,I0014,PLC I/14,010-04CR,L,F,R,F
,,,,,,,,,
19,16,BLUE,"17 INPUTS 1,2,3,4,5,6,8,9,10,11,12,15,16,17,18,19,20",PLC ,TB-2,L,F,L,F
34,16,BLUE,006-01A,TB-2,009-07CR,L,F,L,F
36,16,BLUE,002-10A,009-07CR,TB-2,L,F,L,F
40,16,BLUE,002-11B,TB-2,004-07CR,L,F,L,F
30,16,BLUE,008-08A,004-07CR,004-08CR,L,F,R,F
28,16,BLUE,008-08B,004-08CR,TB-2,R,F,L,F
39,16,BLUE,"19 OUTPUTS 0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",PLC,TB-2,L,F,R,F
30,16,BLUE,O0002,PLC O/2,009-07CR,R,F,R,F
11,16,BLUE,010-04A,TB-2,010-02CR,L,F,R,F
34,16,BLUE,010-04B,010-02CR,010-04CR,L,F,R,F
10,16,BLUE,002-10A,TB-2,010-02CR,L,F,R,DF
10,16,BLUE,002-10A,010-02CR,010-04CR,R,DF,R,F
